编号,倡议,具体内容,可执行工具,预期效果,依据
1,明确行业定义与主管部门,区分无害化处理、商业火化、告别仪式、寄存、墓地和纪念品,职责清单、行业分类代码,职责清晰,S001/S010
2,建立经营准入与备案,固定场地、环保、防疫、冷藏、消毒、车辆、人员培训,许可证或分级备案,减少无证经营,S001/S011/S012
3,一宠一码全流程追溯,身份核验、封签、运输、冷藏、炉次、骨灰交付,电子码+视频记录,降低假火化,S001
4,价格和套餐标准化披露,各环节分别报价，附加项目书面确认,统一价目表,减少诱导消费,S001/S009
5,移动火化特别规则,设备备案、作业地点、排放检测、视频留档,移动设施细则,兼顾便捷和环保,S009/S012
6,县域公共兜底网络,依托处理中心、宠物医院、暂存点、跨区转运,每县至少一个交接点,提升可及性,S005/S006/S010
7,从业者培训与职业伦理,防疫、遗体处理、沟通、哀伤支持、心理防护,培训证书,提升职业化,S012/S015/S016
8,建立行业统计制度,机构数、订单、处理方式、客单价、投诉、排放、服务半径,年度报表,补齐基础数据,S003/S005/S006
9,消费者投诉与第三方审计,抽查炉次、追溯记录和价格,审计报告+黑名单,提高可信度,S001
10,生命教育与哀伤支持,告别教育、儿童材料、哀伤手册、转介机制,标准服务包,降低心理风险,S015/S016
补充-准入资质,准入资质,建立宠物遗体处理机构准入清单，明确动物防疫条件合格证、环评、排污、消防等要求,准入闸门,宠物遗体处理涉及动物防疫和环境污染，不只是普通服务业,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
补充-价格公示,价格公示,要求套餐明码标价，区分集体火化/单独火化/纪念品/墓地寄存，禁止情感话术捆绑高价商品,价格标签,降低悲伤状态下消费者被诱导消费的风险,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
补充-过程可追溯,过程可追溯,建立遗体接收编号、转运记录、炉次记录、视频留痕、骨灰交付凭证,流程链条,信任是情感服务的核心资产,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
补充-环保排放,环保排放,宠物火化炉纳入环评和废气处理设施监管，移动火化车明确禁用/限用边界,烟囱过滤器,避免行业扩张转化为城市环境风险,https://sthjj.gz.gov.cn/attachment/7/7919/7919888/10216161.pdf
补充-公共服务,公共服务,建设公益/普惠型动物无害化处理网络，宠物医院设置暂存冰柜并与处理中心签约,城市节点网络,补齐“最后一公里”，减少随意掩埋和丢弃,https://nyncw.sh.gov.cn/jyta/rddbjy/20220708/14c75399b4234825a5b339457873cb8e.html
补充-职业培训,职业培训,建立遗体处理、悲伤沟通、消毒防疫、设备安全、价格合规等培训模块,培训证书,宠物殡葬是情感劳动和公共卫生劳动的结合,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml
补充-标准制定,标准制定,制定宠物殡葬服务国家/地方/团体标准，先覆盖术语、流程、设施、记录、投诉处理,标准尺,让市场竞争从营销转向可信服务,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml
补充-部门协同,部门协同,建立多部门职责表：农业农村管动物防疫，生态环境管排放，市场监管管价格广告，城管/属地管移动焚烧,四部门拼图,回应全国人大代表提出的有法可依、执法有据,https://m.bjnews.com.cn/detail/1772519733129555.html
