问题,一级分类,证据或表现,source_id,可信度
无证经营,资质,后备箱火化、郊区仓库、二手医用焚化炉,S001,高
虚假单独火化,火化真实性,集体混烧后要求加价,S001,高
骨灰真实性,火化真实性,草木灰冒充宠物骨灰,S001,高
价格跨度过大,价格,基础报价300—3000元,S001,高
诱导消费,营销伦理,悲伤场景临场推销高价附加项目,S001,高
冷藏暂存不规范,防疫,缺专用冷藏设备，使用冰块暂存,S009,高
移动火化缺场地,环保/防疫,移动火化车就近焚烧，无专门场地,S009,高
跨区域服务不足,可及性,县域和低线城市机构少,S001,高
监管职责分散,制度,多部门职责交叉,S001/S010,中高
缺少专门行业法,制度,现有规定主要覆盖无害化处理,S012/S014,高
追溯不足,流程,接收、封签、炉次、骨灰交付缺统一编号,研究归纳,建议项
哀伤支持不足,服务,宠主悲伤和从业者情绪耗竭缺少支持,S015/S016,中高
后备箱火化,环保/防疫/欺诈,消费者遇到改装面包车后备箱火化,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,A
虚假宣传,消费者权益,套餐称单独火化，现场发现混烧需加价,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,A
收费混乱,价格监管,同一城市基础火化价格从300元至3000元不等,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,A
监管空白,制度缺口,央视调查称尚未有明确主管部门监管，国家和地方标准检索为空,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml,A
资质不匹配,资质合规,央视调查称店面资质与实际操作不匹配,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml,A
缺少职业认证,职业标准,央视调查称宠物殡葬师缺乏统一从业资格培训和认证,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml,A
邻避效应,选址冲突,告别室哭声影响隔壁公司员工和客户，被投诉后搬迁,https://zqb.cyol.com/html/2022-01/11/nw.D110000zgqnb_20220111_2-05.htm,A
不敢声张,行业污名,从业者称不能向养宠朋友推荐殡葬店，像诅咒,https://zqb.cyol.com/html/2022-01/11/nw.D110000zgqnb_20220111_2-05.htm,A
环保排放,环保风险,宠物火化过程可类比殡仪馆产污，涉及烟尘、二氧化硫、氮氧化物等,https://sthjj.gz.gov.cn/attachment/7/7919/7919888/10216161.pdf,A
病原传播,公共卫生,动物防疫法要求病死动物无害化处理，不得随意弃置,https://www.lasa.gov.cn/lasa/gwyxx/202103/9388006a9cb34d65b5e3b5dda85ac0fc.shtml,A
合规成本高,经营压力,资深从业者称广东多数机构未获取无害化处理资质，机构在合规与盈利间进退两难,https://m.thepaper.cn/newsDetail_forward_32909164,B
统计口径混乱,数据问题,企查查经营范围口径超8000家，相关企业口径可达4.7万家,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,A
